date,title,description,location,url,long_description,standort,branchen,mitarbeiter,jahresumsatz,preisvorstellung,international
30.10.2024,"Erfolgr. Führungskraft (33), Werksleiter Asien, ehm. Beratung, sucht Nachfolge","Werksleiter für dt. Automobilzulieferer in Asien, z.Z. Key Account Mgmt. glob. OEMs, ehm. Unternehmensberater, Ass. d. Geschäftsführung, Ing. (M.Sc.). Verheiratet, zwei Kinder, Unternehmer-Elternhaus",Schleswig-Holstein,https://www.nexxt-change.org/DE/Kaufgesuch/Detailseite/detailseite_jsp.html?adId=210223,"
Sehr geehrte Damen und Herren,

Sie sind bei der Suche nach einem Nachfolger für Ihr Unternehmen auf mein Inserat gestoßen. Ich möchte Sie davon überzeugen, dass ich für diese verantwortungsvolle Aufgabe ein geeigneter Kandidat sein könnte.

Schon früh haben mir meine Eltern, selbst Unternehmer, beigebracht, sowohl für mich selbst als auch für andere Menschen Verantwortung zu übernehmen. Als Ehemann und Vater von zwei Kindern lebe ich täglich nach diesem Prinzip. Dies gilt auch für meine Rolle als Führungskraft eines Tier-1 Automobilzulieferers.

In meinem Ingenieursstudium an einer Technischen Universität legte ich den Schwerpunkt auf Management und Führung. Aufgrund meines Engagements durfte ich meine Masterarbeit am renommierten MIT in Boston, USA, durchführen.

Als Unternehmensberater bei einer Strategieberatung begleitete ich große Firmen in ihren Organisations- und Geschäftstransformationen. Anschließend setzte ich meine gewonnenen Erfahrungen als Assistent der Geschäftsführung bei einem Tier-1 Automobilzulieferer ein.

Aufgrund meiner Leistungen wurde mir die Leitung eines Werkes in Asien übertragen. Für zweieinhalb Jahre lebte ich mit meiner Familie im Ausland, inklusive aller Höhen und Tiefen. Mir gelang das erfolgreiche Wachstum des Standortes von 60 auf über 300 Mitarbeiter mit einem Jahresumsatz von mehr als 30 Mio. EUR pro Jahr. Der wesentliche Erfolgsfaktor war die Einführung von erprobten Strukturen und Prozessen, welche die Arbeit erleichterten und einen erheblichen Zugewinn an Effizienz und Produktivität in der Produktion ermöglichten.

Inzwischen verantworte ich als globaler Vertriebsleiter das Key Account Management für einen Bereich mit einem weltweiten Jahresumsatz von mehr als 400 Mio. EUR.
Im Alter von 33 Jahren befinde ich mich nun an einem Wendepunkt in meinem beruflichen Leben. In mir regt sich der Wunsch, eine Unternehmensnachfolge durch einen Management-Buy-In anzutreten.

Sollte ich Ihr Interesse geweckt haben, stehe ich gerne für ein erstes Telefongespräch, vorzugsweise freitags, zur Verfügung. Ich freue mich auf Ihre Nachricht.

Mit freundlichen Grüßen",Schleswig-Holstein,Verarbeitendes Gewerbe > Herstellung sonstiger Waren; Verarbeitendes Gewerbe > Fahrzeugbau; Verarbeitendes Gewerbe > Metallerzeugung und -verarbeitung; Verarbeitendes Gewerbe > Maschinenbau,Keine Angaben,"über 2,5 Mio. Euro",Keine Angaben,
30.10.2024,"Verkehrswegebau: Ingenieurbüros, Planungsbüros und Vermessungsbüros","Gesucht werden Unternehmen in den Geschäftsfeldern ""Ingenieur- und Planungsbüros mit Schwerpunkt Verkehrswegebau"" sowie ""Vermessungsbüros mit Schwerpunkt Verkehrswegebau/Bahn"".",Bayern Schleswig-Holstein Rheinland-Pfalz Hamburg Brandenburg Mecklenburg-Vorpommern Bremen Sachsen Nordrhein-Westfalen Hessen Sachsen-Anhalt Berlin Baden-Württemberg Saarland Niedersachsen Thüringen,https://www.nexxt-change.org/DE/Kaufgesuch/Detailseite/detailseite_jsp.html?adId=212088,"
Für unsere Mandantin - eine familiengeführte Unternehmensgruppe im Bereich Verkehrsbau Bahn/Schiene - suchen wir für die strategische Expansion Unternehmen in folgenden Geschäftsfeldern:
1. Ingenieur- und Planungsbüros mit Schwerpunkt Verkehrswegebau, bundesweit.
2. Vermessungsbüros mit Schwerpunkt Verkehrswegebau/Bahn, bevorzugt in NRW, Hessen und Rheinland-Pfalz.

Die Unternehmen sollten mindestens 3, maximal 100 Mitarbeitende (ohne ausscheidende Inhaber/-innen) aufweisen. Neben einer vollständigen Übernahme der Zielunternehmen sind auch strategische Minderheitsbeteiligungen an diesen relevant.

Wir freuen uns auf Ihre Kontaktaufnahme und sichern Ihnen absolute Diskretion zu. Gerne unterzeichnen wir hierfür eine Vertraulichkeitsvereinbarung.",,"Baugewerbe > Spezialisierte Bautätigkeiten > Straßenbauer; Dienstleistung > Freiberufliche, wissenschaftliche und technische Dienstleistungen > Architektur- und Ingenieurbüros; Baugewerbe > Sonstige; Baugewerbe > Abbrucharbeiten und vorbereitende Baustellenarbeiten",Keine Angaben,Keine Angaben,Keine Angaben,
30.10.2024,Suche Übernahme oder Standort für Patisserie,#Patisserie #Konditorei #Außenterasse #Backstube,Baden-Württemberg / Karlsruhe / Baden-Baden,https://www.nexxt-change.org/DE/Kaufgesuch/Detailseite/detailseite_jsp.html?adId=212203,"
Suche Standort zur Eröffnung einer kleinen Patisserie gerne mit Außenterrasse und Backstube.
Baden-Baden und Umgebung.",Baden-Württemberg > Karlsruhe > Baden-Baden,,Keine Angaben,Keine Angaben,Keine Angaben,
30.10.2024,Radio - und Fernseh - Fachgeschäft gesucht,#Radiotechniker #Fernsehtechnikergeselle #Werkstattübernahme,"Baden-Württemberg / Karlsruhe / Karlsruhe, Stadt Baden-Württemberg / Karlsruhe / Karlsruhe, Landkreis",https://www.nexxt-change.org/DE/Kaufgesuch/Detailseite/detailseite_jsp.html?adId=212200,"
Suche Radio-, Fernsehgeschäft mit Werkstatt zum Kauf, per Ratenzahlung. Karlsruhe + 30 km.
Bin Radio-, Fernsehtechniker Geselle, Techniker für Elektronik,
E-mail-Adresse: ChristianPflug020@gmail.com, Tel: 0721/60902684
ab 10.11.24",,,Keine Angaben,Keine Angaben,Keine Angaben,
30.10.2024,"Auf der Suche nach einem visionären Partner, Nachfolger oder Interimsmanager?","Nach dem Verkauf meines Unternehmens suche ich nach einer neuen Herausforderung. Meine Expertise: Strategie- und Organisationsentwicklung, Vertrieb, Marketing, Personalmanagement.","Niedersachsen / Weser-Ems / Osnabrück, Landkreis",https://www.nexxt-change.org/DE/Kaufgesuch/Detailseite/detailseite_jsp.html?adId=212078,"
Als Diplom-Kaufmann mit über 30 Jahren umfassender Erfahrung in der Dienstleistungsbranche verfüge ich über tiefgehende Expertise im Aufbau und in der Führung profitabler Geschäftseinheiten. Mit 51 Jahren blicke ich auf eine erfolgreiche Karriere in Deutschland, Österreich und Spanien zurück, in der ich zahlreiche Projekte zum Erfolg führte, die signifikante Umsätze im oberen zweistelligen Millionenbereich generierten.
Während meiner Laufbahn habe ich mehrere hochrentable Geschäftsfelder etabliert und Unternehmen durch wirtschaftlich anspruchsvolle Zeiten geführt – stets mit einem klaren Fokus auf nachhaltiger Profitabilität und zukunftsorientierter Marktpositionierung. In einer meiner herausragenden Führungspositionen verantwortete ich die Leitung eines vollständig digitalisierten Unternehmens mit über 70 Niederlassungen, das in seinen zentralen Funktionsbereichen konsequent auf Effizienz und Kontrolle durch Zentralisierung setzte. Dies ermöglichte eine optimale Steuerung aller Geschäftsprozesse sowie deren perfekte Integration in die übergeordnete Unternehmensstrategie.
Nach dem erfolgreichen Verkauf meines Unternehmens suche ich nun nach einer neuen, unternehmerischen Herausforderung in der Rolle eines Nachfolgers oder Interimsmanagers, mit der Option einer Beteiligung oder Übernahme. Mein besonderes Interesse gilt profitablen Unternehmen mit klaren Wachstumschancen, um auf bereits bestehenden Erfolgen aufzubauen und ungenutzte Potenziale zu heben, um das Unternehmen auf das nächste Niveau zu führen.

Schwerpunkte und Expertise
Meine Expertise liegt in der Strategie- und Organisationsentwicklung, im Vertrieb, im Personalmanagement sowie im Bereich Marketing. In diesen Funktionsbereichen habe ich strategische Konzepte entwickelt und implementiert, die Unternehmen nicht nur dabei unterstützten, sich am Markt zu behaupten, sondern sich als führende Akteure nachhaltig zu positionieren. Durch eine klare Vertriebsorientierung und stringentes Personalmanagement ist es mir gelungen, operative Exzellenz zu erreichen und gleichzeitig den Kundenwert kontinuierlich zu steigern.
Zusätzlich verfüge ich über tiefgehende Kenntnisse in der Unternehmensgründung, Geschäftsfeldentwicklung sowie im Markenaufbau. Die Fähigkeit, Marken von Grund auf zu gestalten und erfolgreich am Markt zu etablieren, hat zu nachhaltigen und langfristigen Erfolgen geführt. Als Führungspersönlichkeit lege ich besonderen Wert auf inspirierendes Leadership, das sowohl die Unternehmensführung als auch die gezielte Entwicklung von Talenten umfasst. Meine Fähigkeit, Teams strategisch zu führen und zu motivieren, hat es mir ermöglicht, langfristige Unternehmensziele zu verwirklichen und gleichzeitig eine starke, wertebasierte Unternehmenskultur zu fördern.","Niedersachsen > Weser-Ems > Osnabrück, Landkreis","Dienstleistung; Gesundheits- und Sozialwesen; Land- und Forstwirtschaft, Fischerei; Baugewerbe; Information und Kommunikation; Gastgewerbe; Grundstücks- und Wohnungswesen; Infrastruktur; Kunst, Unterhaltung und Erholung; Handel; Handwerk; Verarbeitendes Gewerbe",Keine Angaben,Keine Angaben,Keine Angaben,
30.10.2024,Kfz-Betrieb zur Übernahme im Landkreis Gotha gesucht,Ein Kfz-Meister mit langjähriger Führungserfahrung sucht im Raum Gotha einen Kfz-Betrieb zur Übernahme.,Thüringen / Thüringen / Gotha,https://www.nexxt-change.org/DE/Kaufgesuch/Detailseite/detailseite_jsp.html?adId=212202,"
Ein Kfz-Meister mit langjähriger Führungserfahrung sucht im Raum Gotha einen Kfz-Betrieb zur Übernahme. Der ideale Betrieb bietet Platz für mindestens zwei Hebebühnen sowie ausreichend Grundstücksfläche für Parkplätze und Nutzbereiche. Der Übernehmer ist ein engagierter Fachmann, der den Betrieb entweder alleine oder mit einem kleinen Team von ein bis zwei Mitarbeitern führen möchte, um sich langfristig in der Region zu etablieren. Er sucht ein Unternehmen mit stabiler Kundschaft und bestehender Infrastruktur, um direkt starten zu können und den Übergang reibungslos zu gestalten. Die Werkstatt sollte ihm Raum bieten, sich durch qualitativ hochwertigen Service und eine enge Kundenbindung einen Namen in Gotha zu machen. Ziel ist es, durch persönliche Betreuung und Fachkompetenz langfristig zu wachsen und sich in der Region erfolgreich zu positionieren. Bevorzugt wird der Kauf des Unternehmens, jedoch sind auch alternative Übergabeformen nach Absprache möglich.",Thüringen > Thüringen > Gotha,,Keine Angaben,Keine Angaben,Keine Angaben,
30.10.2024,Firmen im Bereich Arbeitssicherheit gesucht,"Ich suche nach Firmen, die Arbeitssicherheits-Produkte herstellen oder damit handeln.",Sachsen / Leipzig,https://www.nexxt-change.org/DE/Kaufgesuch/Detailseite/detailseite_jsp.html?adId=212188,"
Hallo liebe Unternehmer,

ich bin selbst auch Unternehmer und stelle Berufsbekleidung her und vertreibe diese deutschlandweit an Fachhändler und Fachpersonal.

Wir sind ein wachsendes Team und verfügen über die Infrastruktur sowie die Kenntnisse aus Vertrieb, Einkauf, Produktion und Logistik.

Um insbesondere unseren B2B Kunden ein breiteres Produktportfolio anzubieten und die Firma weiter auszubauen, suche ich nach passenden Marken und Produkten.

Ich interessiere mich insbesondere für produzierende Unternehmen bzw. Unternehmen, die unter eigenem Namen ihre Produkte herstellen lassen. Aber auch reine Händler sind interessant, als stationäre Handel oder reiner Online-Shop. Gerne übernehmen wir im stationären Handel auch ein eingespieltes Team.

Ich freue mich auf eure Kontaktaufnahme (gern per Du) und den Austausch.

Viele Grüße
Philipp",Sachsen > Leipzig,,Keine Angaben,Keine Angaben,Keine Angaben,
29.10.2024,Unternehmen gesucht - Betriebswirt / Vertriebsleiter sucht,Ich Betriebswirt und erfolgreicher Vertriebsleiter suche im Rahmen einer Unternehmensnachfolge ein Unternehmen in der Nähe von 89331 (+/-50km).,Bayern / Schwaben / Günzburg,https://www.nexxt-change.org/DE/Kaufgesuch/Detailseite/detailseite_jsp.html?adId=212176,"
Ich suche ein Unternehmen im Rahmen einer Unternehmensnachfolge. Ich bin Betriebswirt und habe über 20 Jahre Erfahrung im Verkauf, Vertrieb und Marketing. Ich bin handwerklich begabt und kann mich in Prozesse reindenken.
Ich bin für alle Angebote offen und bin flexibel, wichtig ist für mich nur dass das Unternehmen auch eine Zukunft hat. Ob Handwerk, Handel, Verkauf usw. ist nicht so wichtig für mich.
Gerne nehme ich Unterstützung bei der Einarbeitung an. Ihr Unternehmen wird bei mir sicherlich in guten Händen sein.
Aktuell befinde ich mich in einer ungekündigten Festeinstellung als Vertriebsleiter in einem großen Unternehmen und viel Verantwortung.
Ich freue mich sehr über Ihre Nachricht.",Bayern > Schwaben > Günzburg,,Keine Angaben,Keine Angaben,Keine Angaben,
29.10.2024,Unternehmensbeteiligung in der Softwarebranche,"Aktuell vertreten wir renommierte Unternehmen, die ihr Geschäftsportfolio erweitern und ihre Marktposition verstärken wollen.",Baden-Württemberg Saarland Thüringen Ausland Berlin Bayern Brandenburg Niedersachsen Bremen Rheinland-Pfalz Schleswig-Holstein Mecklenburg-Vorpommern Hessen Nordrhein-Westfalen Sachsen-Anhalt Hamburg,https://www.nexxt-change.org/DE/Kaufgesuch/Detailseite/detailseite_jsp.html?adId=212133,"
Gesucht wird nach potentiellen Übernahmezielen und Beteiligungen in der Softwarebranche, insbesondere in den Bereichen Gesundheit, Healthcare und Medizintechnik.
Umsatz: ab 5 Mio. €
EBIT: ab 2 Mio. €
Region: DACH",,,Keine Angaben,"über 2,5 Mio. Euro",Keine Angaben,
29.10.2024,Unternehmensbeteiligung in der Industriebranche,"Aktuell vertreten wir renommierte Konzerne, die ihr Geschäftsportfolio erweitern und ihre Marktposition verstärken wollen.",Sachsen-Anhalt Nordrhein-Westfalen Hessen Baden-Württemberg Mecklenburg-Vorpommern Saarland Hamburg Brandenburg Bremen Sachsen Bayern Rheinland-Pfalz Schleswig-Holstein Thüringen Niedersachsen Berlin,https://www.nexxt-change.org/DE/Kaufgesuch/Detailseite/detailseite_jsp.html?adId=212130,"
Gesucht wird nach potentiellen Übernahmezielen und Beteiligungen in der Industriebranche, insbesondere in den Bereichen Produktion, Maschinenbau und Ingenieurdienstleister.
Umsatz: 5 - 200 Mio. €
EBIT: ab 350.000 €
Region: Europaweit",,,Keine Angaben,"über 2,5 Mio. Euro",Keine Angaben,
