date,title,description,location,url,long_description,standort,branchen,mitarbeiter,jahresumsatz,preisvorstellung,international
07.10.2024,"Kfz-Werkstatt, Mechanik Karosseriebau gerne Young-/ Oldtimer",Werkstatt für Kfz-Handwerk gesucht.,Berlin / Berlin / Berlin,https://www.nexxt-change.org/DE/Kaufgesuch/Detailseite/detailseite_jsp.html?adId=208037,"
Guten Tag,
Ich bin Fahrzeug und Karosseriebau Meister mit langjähriger Werkstatt Erfahrung in Mechanik u. Karosserie.

Auf diesem Weg suche ich nach einem Betrieb zur Übernahme evtl. andere möglichkeiten der Zusammenarbeit nach Absprache, sehr gerne in Berlin evtl. Umland.

Ideal wäre etwas mit ausrichtung auf Young- und Oldtimern aber kein muss.",Berlin > Berlin > Berlin,,Keine Angaben,Keine Angaben,Keine Angaben,
07.10.2024,Suche Kfz-Betrieb zur Erweiterung unseres Standortes in Oldenburg,Suche Kfz-Betrieb zur Erweiterung unseres Standortes in Oldenburg,Niedersachsen / Weser-Ems / Oldenburg (Oldenburg),https://www.nexxt-change.org/DE/Kaufgesuch/Detailseite/detailseite_jsp.html?adId=211471,"
Wir, ein junges, erfolgreiches, regionales Unternehmen im Bereich der Fahrzeugvermittlung und des Fahrzeugausbaus, möchten unseren Standort in Oldenburg und Umgebung ausbauen. Dazu sind wir auf der Suche nach einem etablierten Kfz-Reparaturbetrieb, bevorzugt im Stadtgebiet Oldenburg und Umgebung bis 20 km, der sich für eine Übernahme eignet.

Unser Ziel ist es, einen weiteren Standort zu integrieren und dabei auf ein bestehendes, gut eingeführtes Team mit 2 bis 10 Mitarbeitern aufzubauen. Die genaue Ausgestaltung der Übernahme, sei es durch Kauf oder Pacht, stimmen wir flexibel mit dem derzeitigen Inhaber ab, um einen für beide Seiten optimalen Übergang zu ermöglichen.

Wir bringen langjährige Erfahrung in der Kfz-Branche mit und sind in der Region als zuverlässiger Partner bekannt. Unser Interesse liegt in einem markenungebundenen Betrieb mit klassischer Kfz-Auftragsstruktur.

Sollten Sie Interesse an einem Nachfolger für Ihren Betrieb haben, freuen wir uns auf Ihre Kontaktaufnahme über das Formular des Regionalpartners der Handwerkskammer. Wir blicken gespannt auf die Möglichkeit, unseren Standort mit Ihnen gemeinsam zu erweitern!",Niedersachsen > Weser-Ems > Oldenburg (Oldenburg),,6 - 10 Beschäftigte,Keine Angaben,Keine Angaben,
07.10.2024,Kfz-Werkstatt zum Kauf/Übernahme gesucht,Kfz-Technikermeister sucht Kfz-Werkstatt zum Kauf/Übernahme,Brandenburg / Brandenburg / Oder-Spree Brandenburg / Brandenburg / Dahme-Spreewald,https://www.nexxt-change.org/DE/Kaufgesuch/Detailseite/detailseite_jsp.html?adId=211580,"
Ich, 35 Jahre jung, bin auf der Suche nach einer Kfz-Werkstatt zur Übernahme. Seit meiner Ausbildung zum Kfz-Mechatroniker (die vor 18 Jahren begann) arbeite ich durchgehend in einer freien Kfz-Werkstatt.
Vor 2 Jahren hab ich erfolgreich die Meisterschule, als Abendschule, absolviert.
In den letzten Jahren hab ich Ausreichend Erfahrung von Führen und leiten einer Werkstatt sammeln können.
Gesucht wird daher eine Werkstatt zur Übernahme, gerne auch Kauf mit Immobile bzw. zur Miete im Bereich Landkreis Dahme-Spreewald oder Süd-Westlichen Teil des Landkreises Oder-Spree.

Über Angebote und persönliches Kennenlernen freue ich mehr sehr.",,,Keine Angaben,Keine Angaben,Keine Angaben,
07.10.2024,Westl. Ruhrgebiet: Hausverwaltung zur Übernahme gesucht,Für eine baldige Übernahme suche ich im westlichen Ruhrgebiet eine Hausverwaltung zu akzeptablen Konditionen,Nordrhein-Westfalen / Düsseldorf / Oberhausen Nordrhein-Westfalen / Düsseldorf / Mülheim an der Ruhr Nordrhein-Westfalen / Düsseldorf / Essen Nordrhein-Westfalen / Düsseldorf / Duisburg,https://www.nexxt-change.org/DE/Kaufgesuch/Detailseite/detailseite_jsp.html?adId=210577,"
Ich suche im westlichen Ruhrgebiet (Duisburg, Mülheim, Essen) und Umgebung eine Hausverwaltung zur Übernahme zu akzeptablen Bedingungen. Die Übernahme kann/soll kurzfristig erfolgen.
Bedingt dadurch, dass ich bis in die 2010er Jahren bereits eine kleine Hausverwaltung betrieben haben, liegen entsprechende Kenntnisse in diesem Bereich vor (u.a. IHK-Zertifikatslehrgang).",,,Keine Angaben,Keine Angaben,Keine Angaben,
07.10.2024,Suche Steinmetz- oder Natursteinbearbeitungs-Betrieb im Raum Karlsruhe,#Nachfolge #Betriebsnachfolge #Steinmetz #Steinbildhauer,"Baden-Württemberg / Karlsruhe / Karlsruhe, Landkreis Baden-Württemberg / Karlsruhe / Karlsruhe, Stadt",https://www.nexxt-change.org/DE/Kaufgesuch/Detailseite/detailseite_jsp.html?adId=211592,"
Gesucht wird ein Betrieb zur Übernahme aus dem Steinmetz- & Steinbildhauerhandwerk oder einem vergleichbaren Gewerk.

Ich biete über 10 Jahre Branchenerfahrung in den Bereichen: Grabmal, Restaurierung und Neubau, technische Kenntnisse im Umgang mit modernen Bearbeitungsmaschinen, Durchführung von Optimierungsprozessen, Erfahrung als Bereichsleiter und Führung von Mitarbeitern, Arbeitsvorbereitung und technische Planung. Führungsqualifikationen und regelmäßige branchenspezifische Schulungen.

Vorzugsweiße im Raum / Stadt Karlsruhe.

Ein gleitender Übergang wird bevorzugt.",,,6 - 10 Beschäftigte,über 250 - 500 Tsd. Euro,über 50 - 250 Tsd. Euro,
07.10.2024,Vielseitiger Techniker sucht mittelständisches Unternehmen zur Weiterentwicklung,Berufserfahrener Techniker im Maschinenbau und Metallbau. Suche neue Herausforderung in einem innovativen Unternehmen zur Nutzung meiner umfangreichen Erfahrung.,"Baden-Württemberg / Karlsruhe / Karlsruhe, Stadt Baden-Württemberg / Karlsruhe / Karlsruhe, Landkreis",https://www.nexxt-change.org/DE/Kaufgesuch/Detailseite/detailseite_jsp.html?adId=211588,"
Als ausgebildeter Konstruktionsmechaniker mit zahlreichen Weiterqualifizierungen und einem Abschluss als staatlich geprüfter Techniker verfüge ich über mehr als 20 Jahre Erfahrung im Metall- und Maschinenbau. In dieser Zeit habe ich in verschiedenen Positionen, wie z.B. als Schlosser, Montageschlosser, Reparaturschlosser, Maschinenbediener und Technischer Produktdesigner gearbeitet. Diese abwechslungsreichen Tätigkeiten haben es mir ermöglicht, umfangreiche Kenntnisse in den Bereichen Handwerk, Technik und Konstruktion zu erwerben.

Derzeit suche ich eine neue Herausforderung in einem mittelständischen Unternehmen im Bereich Maschinenbau, Metallbau oder einem verwandten Sektor. Mein Ziel ist es, meine umfassende Berufserfahrung einzubringen und mich langfristig weiterzuentwickeln, mit dem Blick auf eine mögliche Selbständigkeit.

Ein gleitender Übergang ist für mich wünschenswert, um mein Wissen und meine Fähigkeiten optimal in Ihr Unternehmen einzubringen.",,Handwerk > Handwerke für den gewerblichen Bedarf > Metallbauer und Feinwerkmechaniker; Verarbeitendes Gewerbe > Metallerzeugung und -verarbeitung > Herstellung von Werkzeugen; Verarbeitendes Gewerbe > Metallerzeugung und -verarbeitung > Metallbauer und Feinwerkmechaniker; Verarbeitendes Gewerbe > Maschinenbau,Keine Angaben,Keine Angaben,Keine Angaben,
07.10.2024,Betrieb für Pulverbeschichtung wird gesucht,"Gesucht wird ein Betrieb für die Oberflächentechnik ( Sandstrahlen, Pulverbeschichten...) aus dem Raum NRW.",Nordrhein-Westfalen / Köln / Heinsberg,https://www.nexxt-change.org/DE/Kaufgesuch/Detailseite/detailseite_jsp.html?adId=211546,"
Das Unternehmen sollte mind. 3-5 Jahre am Markt bestehen, keine Beteiligung gesucht, sondern Übernahme.",Nordrhein-Westfalen > Köln > Heinsberg,,Keine Angaben,Keine Angaben,Keine Angaben,
04.10.2024,Firma im Bereich Metallbearbeitung / Kunststoffspritzguß / CNC-Fertigung gesucht,Tech. Betriebswirt mit Ausb. Werkzeugmacher Kunststofft. Weiterb. Feinwerkmechanikerm. sowie Automatisierungst. Erfahrung Entwicklung und Konstruktion sucht Betrieb zur Existenzgründung.,Bayern Baden-Württemberg,https://www.nexxt-change.org/DE/Kaufgesuch/Detailseite/detailseite_jsp.html?adId=211557,"
Sehr geehrte Damen und Herren,

einen kleinen Werdegang von mir konnten Sie bereits in der Kurzbeschreibung lesen.
Anbei nun die Eckdaten meiner Suche:
Kaufpreis bis 500.000
Anzahl Mitarbeiter bis 10 ( Je weniger desto besser )
Bereich: Metall/Kunststoff/Baugruppen/Montage/Maschinen/Handel

Nicht gesucht wird: Bauschlosserei/Geländerbau/Blechbearbeitung/Aluminiumgießen/Stanzverfahren

Wenn ich mir etwas wünschen dürfte:
Ein Betrieb in der Kunststoffverarbeitung (Kunststoffspritzgießen) vielleicht mit kleinem Formenbau um Werkzeuge selbstständig zu reparieren mit kleinem überschaubaren Maschinenpark.
Ein Betrieb in der Metallbearbeitung Drehen/Fräsen/CAD_CAM nicht über 4-Achsen mit kleinem überschaubaren Maschinenpark.
Ein Betrieb mit eigenen oder zugekauften Produkten mit eventueller Endmontage oder Veredelung.
Ein bestehender Kundenstamm der auch bei Übernahme weiterhin Kunde bleibt.
Ein Betriebsinhaber der aus Altersgründen verkauft und seinen Betrieb in gute Hände abgeben möchte. Der auch nach Übergabe noch einige Zeit zur Verfügung steht bezüglich Einarbeitung und Vermittlung seiner Erfahrungswerte gerne auch beratende Tätigkeit zu Beginn.

Was ich nicht Suche:
-Überzogene Preise die in keiner Relation stehen.
-Betriebe die nur noch auf Grund von """"Liebhaberei"""" geführt werden aber keinen Gewinn erzielen zu teurem Kaufpreis.
-Überteuert verkaufte """"Kundenbeziehungen"""" die vielleicht gar nicht bestehen.
-Im Kaufpreis nicht bedachte aktuelle Wirtschaftslage bezüglich Knappheit und Verteuerung.",,Verarbeitendes Gewerbe > Herstellung von Gummi- und Kunststoffwaren; Verarbeitendes Gewerbe > Metallerzeugung und -verarbeitung > Herstellung von sonstigen Metallwaren,Keine Angaben,Keine Angaben,Keine Angaben,
02.10.2024,"Industrie Anlagenbau, Maschinenbau, Kunststoff, Metall, Galvanik",">Bereitschaft zum Lernen, Motivation ist ein Unternehmen an die heutigen Herausforderungen anzupassen und erfolgreich im Sinne des gesamten Unternehmens zu führen >Gestaltungsfreiheit",Sachsen,https://www.nexxt-change.org/DE/Kaufgesuch/Detailseite/detailseite_jsp.html?adId=211540,"
Was: Ein etabliertes Unternehmen im Industriesektor, welches mit langjährigen Mitarbeitern und einer guten Zukunftsperspektive (Azubis, Praktikanten, Studenten) aufgestellt ist. Hoher Innovationsfaktor wünschenswert (nicht zwingend) durch Eigenentwicklungen oder Patente

Wer: Ein Inhaber, welcher sein Unternehmen mit gutem Gewissen übergeben möchte und bereit ist, eine Vertrauensbasis aufzubauen. Die Nachfolge soll nicht aus Zwang erfolgen, er soll sich von den persönlichen Kompetenzen überzeugen.

Wie: Offene Kommunikation und klare Verhältnisse, konkrete schriftliche Regelungen und Verträge. Ein Übergabezeitraum ist wünschenswert um zu lernen, jedoch nicht unbedingt erforderlich. Der Kauf kann auch auf einen längeren Zeitraum erfolgen.

Wo: Durch persönliche Flexibilität darf sich der Standort gern in ganz Sachsen befinden. (vorzugsweise LK Dresden, LK Bautzen, LK Sächsische Schweiz-Osterzgebirge)",Sachsen,,11 - 20 Beschäftigte,"über 500 Tsd. - 2,5 Mio. Euro",Keine Angaben,
02.10.2024,Ingenieurbüro für Elektrotechnik sucht den Nachfolger,Wir sind ein herstellerunabhängiges Planungsbüro im Bereich der Stark-und Schwachstromtechnik.,Brandenburg / Brandenburg / Potsdam,https://www.nexxt-change.org/DE/Kaufgesuch/Detailseite/detailseite_jsp.html?adId=211537,"
Wir planen vorwiegend in Projekten der öffentlichen Hand entsprechend dem Leistungsbild der Honorarordnung für Architekten und Ingenieure (HOAI).

Das Unternehmen ist Inhaber geführt und mit weiteren (derzeit vier, ab 2025 fünf) jungen, motivierten Mitarbeitern sehr gut im Markt positioniert.

Wir haben u.a. Erfahrung in der Planung folgender Teilbereiche:
- Netzersatzanlagen
- Trafostationen
- PV-Anlagen
- Niederspannungsschaltanlagen
- Installationsplanung, insbesondere auch strukturierte Verkabelung
- Beleuchtungsplanung
- Planung von Steuerungssystemen wie KNX
- Netzwerktechnik
- Brandmeldeanlagen nach DIN 14675
- Einbruchmeldeanlagen
- Amokanlagen

Das Unternehmen befindet sich in angemieteten Räumen. Es verfügt über planungs- und abrechnungsspezifische Software sowie die erforderlichen modernen Kommunikationsmöglichkeiten.

Im Rahmen der Übergangsphase mit Beratung/Begleitung (max. 1 Jahr) durch den derzeitigen Inhaber wird ein kompletter Verkauf angestrebt.
Die Auftragslage ist konstant gut, die Auftragsbücher sind bereits für die nächsten 3-4 Jahre gefüllt.
Im vergangenen Jahr konnte ein Umsatz von 600000 € erzielt werden. In diesem Jahr ist eine weitere Steigerung absehbar.",Brandenburg > Brandenburg > Potsdam,,bis 5 Beschäftigte,Keine Angaben,Keine Angaben,Nein
02.10.2024,Hausverwaltung zur Übernahme gesucht,Für eine baldige Übernahme suche ich im Großraum Düsseldorf / Kreis Mettmann und bis 50km Umkreis eine Hausverwaltung zu akzeptablen Konditionen,Nordrhein-Westfalen / Düsseldorf / Düsseldorf Nordrhein-Westfalen / Düsseldorf / Mettmann,https://www.nexxt-change.org/DE/Kaufgesuch/Detailseite/detailseite_jsp.html?adId=210044,"
Ich suche im Großraum Düsseldorf / Kreis Mettmann (+ 50km Umkreis) eine Hausverwaltung zur Übernahme zu akzeptablen Bedingungen. Die Übernahme kann/soll kurzfristig erfolgen.
Bedingt dadurch, dass ich bis in die 2010er Jahren bereits eine kleine Hausverwaltung betrieben haben, liegen entsprechende Kenntnisse in diesem Bereich vor (u.a. IHK-Zertifikatslehrgang).",,,Keine Angaben,Keine Angaben,Keine Angaben,
02.10.2024,"Betriebsübernahme im Bereich SHK (Sanitär, Heizung, Klima)","Die Pflegediakonie HH-West/SH gGmbH ist auf der Suche nach einem bestehenden Handwerksbetrieb im Bereich SHK, den wir erfolgreich weiterführen und weiter ausbauen möchten.",Hamburg / Hamburg / Hamburg,https://www.nexxt-change.org/DE/Kaufgesuch/Detailseite/detailseite_jsp.html?adId=211510,"
Unsere Vorstellungen:
- Betrieb mit Fokus auf SHK-Installationen, Wartung und Reparatur
- Betriebsgröße: idealerweise zwischen 5 und 10 Mitarbeitern
- gut ausgestatteter Maschinen- und Fuhrpark
- solides Netzwerk an Lieferanten
- qualifiziertes Personal
-Standort bevorzugt in Hamburg und Umgebung

Unser Angebot:
- Wir bieten eine vertrauensvolle, nachhaltige und zukunftsorientierte Betriebsübernahme
- Langfristiger Erhalt des Firmenimages
- Sicherstellung des Fortbestands für Mitarbeiter und Kunden
- flexible Verhandlungen über Kaufpreis und Übernahmemodalitäten

Wenn Sie Ihren Betrieb in vertrauensvolle Hände geben möchten oder jemanden kennen, der Interesse an einem Verkauf hat, freuen wir uns auf Ihre Kontaktaufnahme.

Bitte senden Sie uns unverbindlich erste Informationen zu Ihrem Betrieb an info@pflegediakonie.de. Diskretion und vertrauliche Behandlung Ihrer Daten sind selbstverständlich garantiert.",Hamburg > Hamburg > Hamburg,,über 100 Beschäftigte,Keine Angaben,Keine Angaben,Nein
02.10.2024,"Kauf-Gesuch: Spedition, Logistik-, Transport-Unternehmen gesucht","Erfahrener Geschäftsführer sucht Spedition, Logistik- / Transport-Unternehmen zum Verkauf in Hamburg & Umgebung.",Schleswig-Holstein Hamburg,https://www.nexxt-change.org/DE/Kaufgesuch/Detailseite/detailseite_jsp.html?adId=211466,"
Sie möchten Ihre Spedition verkaufen? In Hamburg & Umgebung sucht ein Geschäftsführer ein Logistik-/ Transport-Unternehmen, das zum Verkauf steht. Eigenkapital ist vorhanden.

Sie möchten Ihr Transportunternehmen verkaufen?
Dann melden Sie sich unverbindlich mit einer Kurzbeschreibung zu Ihrer Firma:
- Tätigkeitsschwerpunkt des Unternehmens
- Größe (Mitarbeiter, Umsatz, etc.)
- anvisierter Kaufpreis

Ich freue mich auf Ihre Nachricht!",,,Keine Angaben,Keine Angaben,Keine Angaben,
02.10.2024,Hersteller von Diamantwerkzeugen für die Glasbearbeitung,Hersteller von Diamantwerkzeugen für die Glasbearbeitung zur Übernahme gesucht * M&A (Mergers & Acquisitions) Gelegenheit *,Nordrhein-Westfalen Ausland,https://www.nexxt-change.org/DE/Kaufgesuch/Detailseite/detailseite_jsp.html?adId=211489,"
Sehr geehrte Damen und Herren,

wir suchen einen Hersteller von Diamantwerkzeugen für die Glasbearbeitung zur Übernahme.

Als internationales Beratungsunternehmen mit Sitz in Berlin sind wir auf der Suche nach einem kleinen bis mittleren Unternehmen zum Kauf für unseren internationalen Klienten. Wir vertreten sowohl die Käufer- als auch die Verkäuferseite, je nach Anfrage.

Unser Klient, ein global tätiges Handelsunternehmen, das sich auf Diamantwerkzeuge spezialisiert hat, möchte in den Fertigungsbereich investieren. Derzeit sind wir für diesen Klienten auf der Käuferseite tätig.

Das zu erwerbende Unternehmen sollte in erster Linie Diamantwerkzeuge für die Glasbearbeitung herstellen. Wir sind jedoch auch offen für Hersteller, die zusätzlich Werkzeuge für die Keramik-, Metall- und andere verwandte Industrien produzieren.

Mögliche Standorte für das Unternehmen sind Deutschland, die DACH-Region, Belgien, die Tschechische Republik, Italien, Frankreich und Polen.

Wenn Sie ein Hersteller in diesen Kategorien sind und den Verkauf Ihres Unternehmens beabsichtigen, würden wir uns sehr freuen, Sie bald kennenzulernen.

Vielen Dank!

Mit freundlichen Grüßen

Alexion Managementpartners GmbH
14193 Berlin, Deutschland
alexionpartners.com
info@alexionpartners.com

#DiamantWerkzeuge #HerstellerVon DiamantwerkzeugenFürDieGlasbearbeitung #zurÜbernahme
#CBN #Schleifen #Schleifscheiben #Hersteller #DiamantSchleifscheiben #PKD #Glas #Verarbeitung #Unternehmensverkauf #Kauf #MandA #M&A #buyside",,,Keine Angaben,Keine Angaben,Keine Angaben,
02.10.2024,Raum Lengerich: Elektrobetrieb gesucht,Anz.-Nr. MSN2855: Staatlich geprüfter Elektrotechniker sucht im Raum Lengerich bis 30 km einen Betrieb zur Übernahme oder Beteiligung.,Nordrhein-Westfalen / Münster / Warendorf Nordrhein-Westfalen / Münster / Steinfurt,https://www.nexxt-change.org/DE/Kaufgesuch/Detailseite/detailseite_jsp.html?adId=211520,"
Anz.-Nr. MSN2855: Staatlich geprüfter Elektrotechniker sucht im Raum Lengerich bis 30 km einen Betrieb zur Übernahme oder Beteiligung.",,Handwerk > Ausbaugewerbe > Elektrotechniker; Baugewerbe > Bauinstallation > Elektroinstallation; Baugewerbe > Ausbau > Elektrotechniker,Keine Angaben,Keine Angaben,Keine Angaben,
02.10.2024,KFZ Betriebsübernahme gesucht (Karosserie & Lack),Gesucht wird eine Betriebsübernahme im KFZ-Handwerk: -Karosserie & Lackierfachbetrieb -Hersteller Vertragswerkstatt -freie KFZ-Werkstatt mit Ausbau potential,"Rheinland-Pfalz / Rheinhessen-Pfalz / Speyer Baden-Württemberg / Karlsruhe / Karlsruhe, Stadt Rheinland-Pfalz / Rheinhessen-Pfalz / Landau in der Pfalz Rheinland-Pfalz / Rheinhessen-Pfalz / Germersheim Rheinland-Pfalz / Rheinhessen-Pfalz / Neustadt an der Weinstraße Baden-Württemberg / Karlsruhe / Karlsruhe, Landkreis",https://www.nexxt-change.org/DE/Kaufgesuch/Detailseite/detailseite_jsp.html?adId=211513,"
Zu meiner Person : ich bin 37 jahre jung, sportlich aktiv, gesund und besitze ein gepflegtes äußeres mit einem angenehmen ansprechenden Erscheinungsbild.
Ausgebildet wurde ich in drei Lehren, als Automobilkaufmann , Bürokaufmann und KFZ-Mechatroniker. Meine Berufserfahrungen in der Karosserie & Lack Branche als auch in Hersteller Vertragswerkstatt (VAG) sind 21 Jahre.

Aktuell absolviere ich den Studiengang zum staatlich geprüften Techniker in Vollzeit Schwerpunkt KFZ-Technik den ich zum 31.07.2025 abschließen werde.
Für einen reibungslosen Übergang zum 01.08.2025 bin ich auf der Suche nach einer Betriebsübernahme im KFZ-Handwerk.",,,6 - 10 Beschäftigte,"über 500 Tsd. - 2,5 Mio. Euro",Keine Angaben,
01.10.2024,Unternehmen im Online- oder Remote-Bereich gesucht,Gesucht wird eine neue unternehmerische Herausforderung in Form einer Unternehmensübernahme im Bereich Online-Dienstleistungen oder Remote-Arbeiten.,Niedersachsen / Braunschweig / Göttingen Hessen / Kassel,https://www.nexxt-change.org/DE/Kaufgesuch/Detailseite/detailseite_jsp.html?adId=211505,"
Gesucht wird eine neue unternehmerische Herausforderung in Form einer Unternehmensübernahme im Bereich Online-Dienstleistungen oder Remote-Arbeiten. Mit langjähriger Erfahrung im strategischen Einkauf, Lieferantenentwicklung und Projektmanagement, insbesondere im Bereich eMobility und After-Sales-Procurement, ist die Expertise vorhanden, um ein modernes, digital ausgerichtetes Unternehmen erfolgreich zu führen.

Die berufliche Laufbahn umfasst mehr als 16 Jahre in Schlüsselpositionen bei einem der weltweit führenden Automobilhersteller. Zu den Stärken zählen strategische und operative Arbeit, die Entwicklung von Lieferantenstrategien und die gruppenweite Koordination agiler Projekte. Diese Kombination von Fähigkeiten sorgt dafür, dass ein Unternehmen effizient geleitet und seine Wachstumspotenziale voll ausgeschöpft werden können.

Mit tiefgreifendem technischem und wirtschaftlichem Know-how sowie seiner Kommunikationsfähigkeit besteht nicht nur eine starke analytische Denkweise, sondern auch die Fähigkeit, Teams in einem agilen und internationalen Umfeld zu motivieren und zu führen. Fließende Sprachkenntnisse in Englisch und Spanisch sowie internationale Erfahrungen unterstreichen die globale Kompetenz.

Gesucht wird ein Unternehmen im Online-/Remote-Bereich, das mit fundierter Expertise in den Bereichen Projektmanagement, Supply Chain Management und Technologie weiterentwickelt werden kann. Besonders interessant sind Firmen in der Region Kassel und Umgebung.

Unternehmen und Eigentümer, die eine Unternehmensnachfolge oder -übernahme in Betracht ziehen, sind herzlich eingeladen, Kontakt aufzunehmen.",,,Keine Angaben,Keine Angaben,über 250 - 500 Tsd. Euro,
01.10.2024,Unternehmen aus dem Rohrleitungsbau und der Schweißtechnik,Gesucht werden Unternehmen aus dem Rohrleitungsbau und der Schweißtechnik,Rheinland-Pfalz Niedersachsen Nordrhein-Westfalen,https://www.nexxt-change.org/DE/Kaufgesuch/Detailseite/detailseite_jsp.html?adId=208613,"
Wir suchen für ein sehr erfolgreiches Unternehmen aus dem Rohrleitungsbau und der Schweißtechnik weitere Unternehmen zum Kauf. Das Unternehmen ist seit über 20 Jahren in der deutschen Maschinenbauindustrie aktiv und verarbeitet alle metallischen Werkstoffe.

Gesucht werden Unternehmen aus dem Bereich der Fertigung von

• Rohrleitungen

• Schweißbaugruppen


Die Unternehmen sollten einen Mindestumsatz von 2,0 Mio. € im Jahr erzielen und in den Postleitzahlengebieten 3 bis 5 liegen.",,,Keine Angaben,Keine Angaben,Keine Angaben,
01.10.2024,Suche Steinmetz- oder Natursteinbearbeitungs-Betrieb zur Übernahme,Die Übernahme soll spätestens 2025 ausgeführt sein,Baden-Württemberg / Karlsruhe,https://www.nexxt-change.org/DE/Kaufgesuch/Detailseite/detailseite_jsp.html?adId=211496,"
Suche zur Übernahme einen Steinmetz- oder Natursteinberarbeitungs-Betrieb im Raum Karlsruhe.",Baden-Württemberg > Karlsruhe,,bis 5 Beschäftigte,über 50 - 250 Tsd. Euro,Keine Angaben,Nein
01.10.2024,IT Systemhaus gesucht im Raum Berlin + 200km,"Berliner Unternehmer sucht IT Systemhaus mit Umsatz zwischen 1Mio. und 5Mio. Euro, soliden Erträgen und exzellentem Ruf. Ich übernehme Ihr Unternehmen und führe es in die Zukunft.",Sachsen Mecklenburg-Vorpommern Brandenburg Sachsen-Anhalt Berlin Niedersachsen / Braunschweig,https://www.nexxt-change.org/DE/Kaufgesuch/Detailseite/detailseite_jsp.html?adId=211463,"
Was ich suche:

- Ein etabliertes Unternehmen, Berlin +200km (zwischen Rostock, Braunschweig, Leipzig, Dresden)
- Bereich IT Systemhaus, mit qualitativ hochwertigem Service
- Umsatz zwischen 1 und 5 Millionen Euro
- Durchschnittlicher Gewinn vor Steuern der letzten fünf Jahre > 15%


Was ich vorhabe:
- Ich übernehme ihr Unternehmen und mache es fit für die Zukunft, mit Digitalisierung und nachhaltigem Wachstum (so wachsen, dass Mitarbeiter, Kunden, Qualität davon profitieren)

- Ich möchte die Übergabe behutsam gestalten, um die Mitarbeiter mitzunehmen und um alles Gute zu bewahren

- Gleichzeitig werde ich etwaige Schwachstellen nacheinander unter Einbindung des Teams angehen

- Noch vor meinem Einstieg im Unternehmen werde ich eine sorgfältige Prüfung durchführen und strebe im Idealfall an, den bisherigen Eigentümer über mehrere Monate zu begleiten, bevor die Übergabe stattfindet. Das finde ich wichtig für die gegenseitige Vertrauensbildung - für die Mitarbeiter, für den Verkäufer und für mich, den Käufer.

Wenn Sie darüber nachdenken, Ihr Unternehmen zu verkaufen oder jemanden kennen, der das vorhat, dann schreiben Sie mir am besten gleich eine kurze Nachricht.
Ich freue mich auf Sie!

Moritz Hau",,,Keine Angaben,Keine Angaben,Keine Angaben,
30.09.2024,Hersteller oder Händler - Medizintechnik oder Pharma,"Erfahrener Unternehmer sucht etabliertes Unternehmen im Bereich Medizintechnik oder Pharma zur Übernahme. Fokus auf innovative Produkte, solide Marktposition und nachhaltiges Wachstum.",Baden-Württemberg Sachsen-Anhalt Ausland Berlin Hessen Saarland Rheinland-Pfalz Niedersachsen Thüringen Bayern Schleswig-Holstein Hamburg Brandenburg Mecklenburg-Vorpommern Sachsen Nordrhein-Westfalen Bremen,https://www.nexxt-change.org/DE/Kaufgesuch/Detailseite/detailseite_jsp.html?adId=211447,"
Ich suche ein etabliertes Unternehmen aus dem Bereich Medizintechnik oder Pharma, sei es als Hersteller oder Händler, zur Übernahme. Ziel ist es, ein innovatives Unternehmen mit solider Marktposition weiterzuführen. Der bevorzugte Standort ist Deutschland.

Gesucht wird ein Hersteller oder Händler, der hochwertige medizintechnische Geräte, pharmazeutische Produkte oder relevante Technologien entwickelt oder vertreibt. Ich lege Wert auf nachhaltige Geschäftsmodelle und eine bestehende Kundenbasis.

- Produkte/Dienstleistungen: Medizintechnische Geräte, pharmazeutische Erzeugnisse, Diagnosetechnik, oder Zubehör.
- Marktpositionierung: Das Unternehmen sollte über eine starke Marktpräsenz verfügen und Potenzial für weiteres Wachstum aufweisen.
- Standort: Deutschland, mit bestehender Marktanbindung und bewährten Vertriebswegen.

Besondere Anforderungen:
- Innovationskraft und Nachhaltigkeit in der Produktentwicklung oder im Handel
- Solides Kundenportfolio und funktionierendes Vertriebssystem
- Unterstützung durch das bisherige Management bei der Übergabe ist ein Muss

Als erfahrener Unternehmer im Gesundheitssektor strebe ich eine langfristige Entwicklung des Unternehmens an. Ein klar strukturierter Übernahmeprozess und eine faire Unternehmensbewertung sind dafür die Voraussetzung. Ich freue mich auf Gespräche mit Verkäufern, die eine zukunftsorientierte Übergabe anstreben.",,Handel > Online-Handel; Gesundheits- und Sozialwesen > Sonstige; Handel > Großhandel und Handelsvermittlung; Gesundheits- und Sozialwesen > Gesundheitswesen; Handel > Sonstige; Verarbeitendes Gewerbe > Herstellung von pharmazeutischen Erzeugnissen; Verarbeitendes Gewerbe > Herstellung von elektrischen Ausrüstungen; Verarbeitendes Gewerbe > Herstellung von elektronischen und optischen Erzeugnisse,Keine Angaben,Keine Angaben,Keine Angaben,
