matching_keywords,matching_locations,buyer_name,buyer_title,buyer_summary,buyer_long_description,buyer_location,buyer_industry,buyer_contact,seller_id,seller_title,seller_summary,seller_long_description,seller_location,seller_industry,seller_contact
Architekturbüro,berlin,Erfahrener Bauprofi sucht etabliertes Bauunternehmen oder Planungsbüro,Feinwerkmechanikermeister sucht Fertigungs-/Maschinenbaubetrieb zur Übernahme,Feinwerkmechanikermeister sucht Fertigungs-/Produktions-/Maschinenbaubetrieb zur Übernahme im Raum Ludwigsburg oder Heilbronn.,"
Ich möchte den Schritt in die Selbstständigkeit wagen und suche einen Betrieb zur Nachfolge.

Im Jahr 2022 habe ich die Weiterbildung zum Feinwerkmechanikermeister erfolgreich abgeschlossen. Durch meine langjährige Berufserfahrung in den Bereichen Zerspanung/Montage/Maschinenbau bin ich fachlich gut aufgestellt.

Die Weiterbildung zum Feinwerkmechanikermeister und meine Berufserfahrung als Fertigungsleiter bilden den betriebswirtschaftlichen Teil meines Werdegangs. Ich bin verantwortungsbewusst, teamfähig und zielstrebig.

Das gesuchte Unternehmen sollte im Landkreis LB oder auch HN sein. Ich bin offen für Kauf/Miete/Pacht. Ein Übergabekonzept kann gerne gemeinsam erarbeitet werden. Wenn es möglich ist, sind eine Einarbeitung und Vorstellung bei Kunden meinerseits erwünscht.

Ich lege großen Wert auf eine offene und wertschätzende Zusammenarbeit mit den Kolleginnen und Kollegen.",Baden-Württemberg / Stuttgart / Ludwigsburg,,,Unknown,Unternehmensnachfolger gesucht,Aus altersgründen suchen wir für unser Unternehmen einen Nachfolger.,"
Wir sind ein etabliertes und erfolgreiches Unternehmen, das sich auf Industriemontage und Anlagenbau spezialisiert hat.
Mit einer starken Marktposition und einem treuen Kundenstamm, zu dem alle namhaften Automobilhersteller gehören, bieten wir umfassende Lösungen für Industriekunden und haben uns in unserer Branche als zuverlässiger Partner etabliert.

Aufgrund meines anstehenden Ruhestandes suche ich einen engagierten und qualifizierten Nachfolger, der das Unternehmen mit derselben Leidenschaft und Hingabe weiterführen möchte.

Ihre Aufgaben:
-Strategische und operative Führung des Unternehmens
-Pflege und Ausbau des bestehenden Kundenstamms
-Weiterentwicklung von Prozessen und Optimierung des Betriebs
-Sicherstellung der höhen Qualitätsstandards in allen Projekten

Ihr Profil:
-Erfahrung im Bereich Industriemontage, Anlagenbau oder verwandten Branchen
-Unternehmerisches Denken und Führungsqualitäten
-Zielorientierte und verantwortungsbewusste Arbeitsweise
-Bereitschaft, ein etabliertes Unternehmen erfolgreich weiterzuführen und
weiterzuentwickeln

Wir bieten:
-Eine gut eingeführte und profitable Unternehmensstruktur-
-Motiviertes und erfahrenes Mitarbeiterteam
-Stabile und langjährige Kundenbeziehungen, insbesondere im Automobilsektor
-Unterstützung bei der Übergabephase

Wenn Sie Interess haben, dieses erfolgreiche Unternehmen in die Zukunft zu führen, freue ich mich auf Ihre Kontaktaufnahme.",Baden-Württemberg / Karlsruhe / Rastatt,,https://www.nexxt-change.org/DE/Verkaufsangebot/Detailseite/detailseite_jsp.html?adId=211999
Bauunternehmen,berlin,Erfahrener Bauprofi sucht etabliertes Bauunternehmen oder Planungsbüro,Feinwerkmechanikermeister sucht Fertigungs-/Maschinenbaubetrieb zur Übernahme,Feinwerkmechanikermeister sucht Fertigungs-/Produktions-/Maschinenbaubetrieb zur Übernahme im Raum Ludwigsburg oder Heilbronn.,"
Ich möchte den Schritt in die Selbstständigkeit wagen und suche einen Betrieb zur Nachfolge.

Im Jahr 2022 habe ich die Weiterbildung zum Feinwerkmechanikermeister erfolgreich abgeschlossen. Durch meine langjährige Berufserfahrung in den Bereichen Zerspanung/Montage/Maschinenbau bin ich fachlich gut aufgestellt.

Die Weiterbildung zum Feinwerkmechanikermeister und meine Berufserfahrung als Fertigungsleiter bilden den betriebswirtschaftlichen Teil meines Werdegangs. Ich bin verantwortungsbewusst, teamfähig und zielstrebig.

Das gesuchte Unternehmen sollte im Landkreis LB oder auch HN sein. Ich bin offen für Kauf/Miete/Pacht. Ein Übergabekonzept kann gerne gemeinsam erarbeitet werden. Wenn es möglich ist, sind eine Einarbeitung und Vorstellung bei Kunden meinerseits erwünscht.

Ich lege großen Wert auf eine offene und wertschätzende Zusammenarbeit mit den Kolleginnen und Kollegen.",Baden-Württemberg / Stuttgart / Ludwigsburg,,,Unknown,Präzisionszerspanung Drehen CNC - 2450,Fertigung und Vertrieb von hochwertigen Drehteilen,"
Fertigung und Vertrieb von hochwertigen Drehteilen
Verarbeitet werden Edelstahl, Aluminium und Buntmetall (Messing, Bronze, Kupfer) und in kleinen Mengen Stahl.
Das Unternehmen ist auf kleinere bis mittlere Losgrößen spezialisiert.
Besonderen Einsatz finden die Teile im Anlagen- und Maschinenbau.
Die mit hoher Präzision hergestellten Teile werden als anspruchsvolle Komponenten eingesetzt.
Die Teilegröße liegt im Durchmesserbereich von ca. 5 mm bis 250 mm und in der Teilelänge bei ca. 5 mm bis 100 mm",Baden-Württemberg / Stuttgart / Hohenlohekreis,,https://www.nexxt-change.org/DE/Verkaufsangebot/Detailseite/detailseite_jsp.html?adId=210333
Architekturbüro,berlin,Erfahrener Bauprofi sucht etabliertes Bauunternehmen oder Planungsbüro,Feinwerkmechanikermeister sucht Fertigungs-/Maschinenbaubetrieb zur Übernahme,Feinwerkmechanikermeister sucht Fertigungs-/Produktions-/Maschinenbaubetrieb zur Übernahme im Raum Ludwigsburg oder Heilbronn.,"
Ich möchte den Schritt in die Selbstständigkeit wagen und suche einen Betrieb zur Nachfolge.

Im Jahr 2022 habe ich die Weiterbildung zum Feinwerkmechanikermeister erfolgreich abgeschlossen. Durch meine langjährige Berufserfahrung in den Bereichen Zerspanung/Montage/Maschinenbau bin ich fachlich gut aufgestellt.

Die Weiterbildung zum Feinwerkmechanikermeister und meine Berufserfahrung als Fertigungsleiter bilden den betriebswirtschaftlichen Teil meines Werdegangs. Ich bin verantwortungsbewusst, teamfähig und zielstrebig.

Das gesuchte Unternehmen sollte im Landkreis LB oder auch HN sein. Ich bin offen für Kauf/Miete/Pacht. Ein Übergabekonzept kann gerne gemeinsam erarbeitet werden. Wenn es möglich ist, sind eine Einarbeitung und Vorstellung bei Kunden meinerseits erwünscht.

Ich lege großen Wert auf eine offene und wertschätzende Zusammenarbeit mit den Kolleginnen und Kollegen.",Baden-Württemberg / Stuttgart / Ludwigsburg,,,Unknown,Nachfolger/in für Metallbaubetrieb gesucht,Metallbaubetrieb mit langjähriger Erfahrung sucht Nachfolger/in,"
Der seit 2002 bestehende Betrieb ist Teil einer großen Firmengruppe und kann im Bereich der zerspanenden Fertigung auf ein Team aus Spezialisten mit langjähriger Erfahrung zurückgreifen.

Die Fertigung findet nach Aufrtrag für Kunden aus den Bereichen Maschinenbau, Farbspritztechnik, Vorrichtungsbau, Leichtmetallbau, Anlagen- und Prototypenbau statt.

Der moderne Maschinenpark sowie qualifizierte Mitarbeiter sind ein Garant für Qualität und Preis. Verarbeitet werden alle gängigen Materialien wie z.B. Automatenstahl, Edelstahle, Sonderlegierungen, NE-Metalle und Kunststoffe individuell und mit höchster Präzision.","Baden-Württemberg / Stuttgart / Heilbronn, Landkreis",,https://www.nexxt-change.org/DE/Verkaufsangebot/Detailseite/detailseite_jsp.html?adId=208105
Malerfirma,"düsseldorf, nordrhein-westfalen",Die Ambrock GmbH sucht Malerbetriebe zur Übernahme,Feinwerkmechanikermeister sucht Fertigungs-/Maschinenbaubetrieb zur Übernahme,Feinwerkmechanikermeister sucht Fertigungs-/Produktions-/Maschinenbaubetrieb zur Übernahme im Raum Ludwigsburg oder Heilbronn.,"
Ich möchte den Schritt in die Selbstständigkeit wagen und suche einen Betrieb zur Nachfolge.

Im Jahr 2022 habe ich die Weiterbildung zum Feinwerkmechanikermeister erfolgreich abgeschlossen. Durch meine langjährige Berufserfahrung in den Bereichen Zerspanung/Montage/Maschinenbau bin ich fachlich gut aufgestellt.

Die Weiterbildung zum Feinwerkmechanikermeister und meine Berufserfahrung als Fertigungsleiter bilden den betriebswirtschaftlichen Teil meines Werdegangs. Ich bin verantwortungsbewusst, teamfähig und zielstrebig.

Das gesuchte Unternehmen sollte im Landkreis LB oder auch HN sein. Ich bin offen für Kauf/Miete/Pacht. Ein Übergabekonzept kann gerne gemeinsam erarbeitet werden. Wenn es möglich ist, sind eine Einarbeitung und Vorstellung bei Kunden meinerseits erwünscht.

Ich lege großen Wert auf eine offene und wertschätzende Zusammenarbeit mit den Kolleginnen und Kollegen.",Baden-Württemberg / Stuttgart / Ludwigsburg,,,Unknown,"Konstruktion, Maschinenbau und Retrofit",Kooperation mit Option der späteren Übernahme GmbH im Großraum Stuttgart,"
Wir sind ein kleines Maschinenbauunternehmen, das seit über 25 Jahren am Markt ist. Die Tätigkeitsfelder sind: Prüfvorrichtungen, Montagestationen, Bearbeitungsvorrichtungen, Handarbeitsplätze, Handlingsysteme/ Industrieroboter, Verpackungsanlagen und Fördertechnik. Unsere Leistungen: Projektierung/ Konstruktion, Teilefertigung, Montage und Dokumentation.

Die Firma besteht im Wesentlichen aus einem technischen Büro mit CAD-Arbeitsplatz und einer eingerichteten Werkhalle (Nutzfläche ca. 300 qm). Dort befindet sich die Montage und eine kleine Teilefertigung insbesondere für Nacharbeiten sowie ein Lager. Es werden seit mehreren Jahren nur Teilzeitkräfte beschäftigt.

Um das Potential des Unternehmens künftig besser auszunutzen, suchen wir zunächst für die ersten Jahre eine Kooperation mit einem Industriemeister, Techniker oder Ingenieur mit Vertriebsaffinität beziehungsweise guten Industriekontakten. Die Ausgestaltung der Zusammenarbeit und der zeitliche Rahmen kann frei vereinbart werden. Eine Übernahme der Firma mit oder ohne Immobilie kann nach mehreren Jahren der Zusammenarbeit erfolgen.

Da ich als Geschäftsführer nahezu immer in der Firma anwesend bin, kann die Tätigkeit teilweise auch auf Remote-Basis erfolgen, falls dies gewünscht wird. Für den Einstieg ist wenig Startkapital erforderlich, da nahezu alles bereits vorhanden ist. Es wäre nur die Investition in Hard-/ Software, beispielsweise für einen weiteren CAD-Arbeitsplatz, erforderlich.",Baden-Württemberg / Stuttgart,,https://www.nexxt-change.org/DE/Verkaufsangebot/Detailseite/detailseite_jsp.html?adId=208637
Malerfirma,"düsseldorf, nordrhein-westfalen",Die Ambrock GmbH sucht Malerbetriebe zur Übernahme,Kaufgesuch für Fliesenleger- und Malerbetrieb zur Erweiterung unseres Unternehme,,"
Sehr geehrte Damen und Herren,

ich, 28 Jahre alt und Inhaber eines spezialisierten Unternehmens für fugenlose Böden und Bäder, beabsichtige, meinen Betrieb weiter auszubauen. Aus diesem Grund bin ich auf der Suche nach einem gut funktionierenden Fliesenleger- und Malerbetrieb zur Übernahme.

Folgende Kriterien sind mir wichtig:

Der Betrieb sollte mindestens 5 Mitarbeiter umfassen, idealerweise mit einem Bauleiter und einer Bürokraft.

Ein eigener Fuhrpark sowie eine eigene Lagerstätte mit integriertem Büro wären wünschenswert.

Eine stabile Auftragslage und ein guter Ruf im Markt werden vorausgesetzt.


Ich freue mich auf Angebote und eine potenzielle Zusammenarbeit. Gerne können Sie mich für weitere Informationen kontaktieren.

Mit freundlichen Grüßen",Nordrhein-Westfalen / Arnsberg / Unna Nordrhein-Westfalen / Arnsberg / Dortmund,,,Unknown,Malerbtrieb aus Altersgründen zu verkaufen,"Langjähriger. gut gehender Malerbtrieb mit bekannten Namen, guten Umsätzen, eigenem Betriebsgebäude zu verkaufen.","
*Liebe Interessenten, bitte beachten Sie unseren Hinweis am Ende des Inserates!

Der Verkauf erfolgt lt. nachweislicher Wertermittlung durch Fachleute der Handwerkskammer. Das zum Betrieb gehörende Gebäude und Grundstück kann käuflich erworben werden und/oder auch gepachtet werden. Die Mitarbeiter sind langjährig im Unternehmen/Firma tätig und bewegen sich in der Altersgrenze zwischen 18 Jahren (neuer Azubi) und max. 53 Jahren. Erfahrene, langjährige Mitarbeiter stehen zusätzlich bei Bedarf als Midi-Jobber zur Verfügung. Vielseitige, unabhängige Kundschaft mit super Zahlungsmoral.

*Wichtiger Hinweis: Bitte nutzen Sie in Ihrer Interessensbekundung die entsprechenden Freifelder für die erforderlichen Informationen (Qualifikation, Berufserfahrung, Mitteilung/Motivationsbekundung an den Inhaber). Nur so ist es dem Betriebsinhaber möglich, eine erste Einschätzung Ihrer Person und Ihrer Eignung vorzunehmen und mit Ihnen in Kontakt zu treten. Wenn Sie Beratung bzgl. Betriebsübernahme wünschen, melden Sie sich gerne bei uns. (Kontaktdaten siehe rechts)",Nordrhein-Westfalen / Arnsberg / Bochum,,https://www.nexxt-change.org/DE/Verkaufsangebot/Detailseite/detailseite_jsp.html?adId=209176
Malerfirma,"düsseldorf, nordrhein-westfalen",Die Ambrock GmbH sucht Malerbetriebe zur Übernahme,Nachfolger für Beherbergungsbetrieb gesucht – Übernahme von erfahrenem Betreiber,Erfahrener Betreiber von Unterkünften in Meißen sucht Beherbergungsbetrieb zur Geschäftsübernahme. Interesse an Betrieben im Bereich Kurzzeitvermietung oder Ferienanlagen.,"
Ich bin auf der Suche nach Beherbergungsbetrieben, die eine langfristige Nachfolgeregelung anstreben. Interessant sind insbesondere kleine bis mittelgroße Hotels, Pensionen oder Ferienanlagen, die gut in die regionale und touristische Infrastruktur eingebunden sind. Idealerweise ist das Geschäft bereits etabliert und hat einen festen Kundenstamm, der die Grundlage für eine nachhaltige Weiterführung bildet.

Besonders wertvoll sind Betriebe mit einem klar definierten Geschäftsmodell, das auf regelmäßigen Tourismus oder Geschäftsreisende ausgelegt ist. Auch Betriebe, die im Bereich Ferienvermietung tätig sind und bereits über Online-Buchungssysteme und eine digitale Präsenz verfügen, sind von Interesse.

Sonstige Besonderheiten:
Ich bringe umfangreiche Erfahrung in der Führung und Vermarktung von Beherbergungsbetrieben mit. Der Fokus liegt auf der nachhaltigen Entwicklung und Weiterführung des Betriebs, um sowohl die bestehenden Werte als auch das Potenzial für zukünftiges Wachstum zu erhalten.

Abschließende Informationen:
Die Übergabe des Betriebs kann flexibel nach Absprache gestaltet werden, sodass ein reibungsloser Übergang gewährleistet wird. Ich stehe bereit, um eine nachhaltige Lösung zu finden, die für beide Seiten vorteilhaft ist.

Kontakt:
Sollten Sie an einer Übernahme interessiert sein oder weitere Informationen wünschen, kontaktieren Sie mich bitte für ein unverbindliches Gespräch.",Sachsen / Dresden,,,Unknown,"Unternehmen mit Hotel, Gaststätte und Wohnanlage zu verkaufen","Verkaufe aus Altersgründen mein Anwesen in der Oberlausitz, bestehend aus Hotel/Gastwirtschaft/ Wohnanlage und Baugrund","
-Hotel mit 22 DZ und 8 App. als Frühstückshotel mit Seminarraum
-Gaststätte verpachtet
-Wohnanlage bestehend aus 60 Wohnungen
-Bauland, ca. 5000 qm
in Teilen oder als Ganzes zu verkaufen",Sachsen / Dresden / Bautzen,,https://www.nexxt-change.org/DE/Verkaufsangebot/Detailseite/detailseite_jsp.html?adId=211016
Malerfirma,"düsseldorf, nordrhein-westfalen",Die Ambrock GmbH sucht Malerbetriebe zur Übernahme,Nachfolger für Beherbergungsbetrieb gesucht – Übernahme von erfahrenem Betreiber,Erfahrener Betreiber von Unterkünften in Meißen sucht Beherbergungsbetrieb zur Geschäftsübernahme. Interesse an Betrieben im Bereich Kurzzeitvermietung oder Ferienanlagen.,"
Ich bin auf der Suche nach Beherbergungsbetrieben, die eine langfristige Nachfolgeregelung anstreben. Interessant sind insbesondere kleine bis mittelgroße Hotels, Pensionen oder Ferienanlagen, die gut in die regionale und touristische Infrastruktur eingebunden sind. Idealerweise ist das Geschäft bereits etabliert und hat einen festen Kundenstamm, der die Grundlage für eine nachhaltige Weiterführung bildet.

Besonders wertvoll sind Betriebe mit einem klar definierten Geschäftsmodell, das auf regelmäßigen Tourismus oder Geschäftsreisende ausgelegt ist. Auch Betriebe, die im Bereich Ferienvermietung tätig sind und bereits über Online-Buchungssysteme und eine digitale Präsenz verfügen, sind von Interesse.

Sonstige Besonderheiten:
Ich bringe umfangreiche Erfahrung in der Führung und Vermarktung von Beherbergungsbetrieben mit. Der Fokus liegt auf der nachhaltigen Entwicklung und Weiterführung des Betriebs, um sowohl die bestehenden Werte als auch das Potenzial für zukünftiges Wachstum zu erhalten.

Abschließende Informationen:
Die Übergabe des Betriebs kann flexibel nach Absprache gestaltet werden, sodass ein reibungsloser Übergang gewährleistet wird. Ich stehe bereit, um eine nachhaltige Lösung zu finden, die für beide Seiten vorteilhaft ist.

Kontakt:
Sollten Sie an einer Übernahme interessiert sein oder weitere Informationen wünschen, kontaktieren Sie mich bitte für ein unverbindliches Gespräch.",Sachsen / Dresden,,,Unknown,Beherbergungsbetrieb zu verkaufen,Beherbergungsbetrieb zu verkaufen,"
Ein seit über 25 Jahre bestehender Beherbergungsbetrieb mit festem Kundenstamm sucht einen Nachfolger (Allrounder). Es gibt kein Personal, welches mit übernommen werden kann. Das Objekt befindet sich am Stadtrand von Dresden und umfasst 10 Zimmer sowie eine Eigentümerwohnung. Zur Zeit vor allem durch Monteure und Pendler genutzt, eine Umnutzung ist jederzeit möglich. Das Grundstück ist ruhig gelegen und umfasst ca. 1300 qm mit 10 Parkplätzen, 2 Carports und Nebengelass. Die Übergabe erfolgt aus Altersgründen und ist bis Ende 2025 geplant. Eine Einarbeitung wird gewährt. Es besteht die Möglichkeit, einen Teil der Kaufsumme als Mietkauf zu finanzieren.",Sachsen / Dresden / Sächsische Schweiz-Osterzgebirge,,https://www.nexxt-change.org/DE/Verkaufsangebot/Detailseite/detailseite_jsp.html?adId=209447
Malerfirma,"düsseldorf, nordrhein-westfalen",Die Ambrock GmbH sucht Malerbetriebe zur Übernahme,Nachfolger für Beherbergungsbetrieb gesucht – Übernahme von erfahrenem Betreiber,Erfahrener Betreiber von Unterkünften in Meißen sucht Beherbergungsbetrieb zur Geschäftsübernahme. Interesse an Betrieben im Bereich Kurzzeitvermietung oder Ferienanlagen.,"
Ich bin auf der Suche nach Beherbergungsbetrieben, die eine langfristige Nachfolgeregelung anstreben. Interessant sind insbesondere kleine bis mittelgroße Hotels, Pensionen oder Ferienanlagen, die gut in die regionale und touristische Infrastruktur eingebunden sind. Idealerweise ist das Geschäft bereits etabliert und hat einen festen Kundenstamm, der die Grundlage für eine nachhaltige Weiterführung bildet.

Besonders wertvoll sind Betriebe mit einem klar definierten Geschäftsmodell, das auf regelmäßigen Tourismus oder Geschäftsreisende ausgelegt ist. Auch Betriebe, die im Bereich Ferienvermietung tätig sind und bereits über Online-Buchungssysteme und eine digitale Präsenz verfügen, sind von Interesse.

Sonstige Besonderheiten:
Ich bringe umfangreiche Erfahrung in der Führung und Vermarktung von Beherbergungsbetrieben mit. Der Fokus liegt auf der nachhaltigen Entwicklung und Weiterführung des Betriebs, um sowohl die bestehenden Werte als auch das Potenzial für zukünftiges Wachstum zu erhalten.

Abschließende Informationen:
Die Übergabe des Betriebs kann flexibel nach Absprache gestaltet werden, sodass ein reibungsloser Übergang gewährleistet wird. Ich stehe bereit, um eine nachhaltige Lösung zu finden, die für beide Seiten vorteilhaft ist.

Kontakt:
Sollten Sie an einer Übernahme interessiert sein oder weitere Informationen wünschen, kontaktieren Sie mich bitte für ein unverbindliches Gespräch.",Sachsen / Dresden,,,Unknown,Reizvoll gelegenes Mittelklassehotel in der Oberlausitz zu verpachten,Reizvoll gelegenes Mittelklassehotel in der Oberlausitz zu verpachten,"
Das Hotel mit 28 DZ und 4 Apartments befindet sich in einem Wohn- und Freizeitpark in der Oberlausitz. Es wird als Garni geführt und verfügt über eine Restaurantanbindung. Eine Verpachtung ist zu günstigen Konditionen möglich. Als Nachfolger eignet sich ein Pächterpaar mit Erfahrungen. Die Übergabe ist kurzfristig bzw. nach Vereinbarung möglich.",Sachsen / Dresden / Bautzen,,https://www.nexxt-change.org/DE/Verkaufsangebot/Detailseite/detailseite_jsp.html?adId=208623
Malerfirma,nordrhein-westfalen,Die Ambrock GmbH sucht Malerbetriebe zur Übernahme,Sanitär-Heizung-Klima-Betrieb in Dortmund gesucht,In Dortmund wird ein SHK-Betrieb zur Übernahme gesucht,"
Erfahrener SHK-Meister sucht einen Betrieb in Dortmund",Nordrhein-Westfalen / Arnsberg / Dortmund,,,Unknown,SHK Sanitär Heizung Service GmbH steht zum Verkauf / Übergabe an,"Handwerksbetrieb GmbH, Aktiv unter dem Nahmen seit ca. 60 Jahren Arbeitsbereich: Sanitär, Heizung, Service, Feuerungstechnik Gas/Öl, Wartungsdienst","
*Liebe Interessenten, bitte beachten Sie unseren Hinweis am Ende des Inserates!

Sanitär Heizung Service GmbH in Bochum steht innerhalb der nächsten Zeit zum Verkauf.
Unser Arbeitsbereich bei ausschließlich privater Kundschaft umfaßt Kleinreperaturen, Wartungen, Erneuerungen von Sanitäreinrichtungen, Wärmepumpenanlagen, Sanierungen bis zum 6-Familienhaus.

Umsatz: ca. 600000 - Mitarbeiter: 3 Gesellen und 2 Azubis - Standort: Bochum - Ausstattung: 6 KFZ, Maschienen, Werkzeuge in gutem Zustand - EDV: Netbooks, PCs, Software KWP-Bnwin, Server (2024 erneuert)
Arbeitszeit zur Zeit März bis September 4-Tage-Woche 36 Stunden, April bis Oktober 5-Tage-Woche 37.5 Stunden

Die GmbH steht sehr gut da, Maschiennen / Werkzeuge / Kfz sind bis auf einen Leasingwagen gekauft. Es gibt Betreuungs- Wartungsverträge für die Software. Büro und Werkstatt sind gemietet und müssen nicht übernommen werden.

Ich würde gerne noch die nächsten 5 Jahre im Betrieb bleiben wenn es möglich ist.
Da es mir alleine in der Geschäftsführung (und im Büro) zur Zeit alles zuviel wird steht das Unternehmen hier zum Verkauf.
Bei interesse würde eine Bewertung durch die HWK erfolgen um den Kaufpreis zu ermitteln.
Melden Sie sich wenn Sie interessiert sind .

*Wichtiger Hinweis: Bitte nutzen Sie in Ihrer Interessensbekundung die entsprechenden Freifelder für die erforderlichen Informationen (Qualifikation, Berufserfahrung, Mitteilung/Motivationsbekundung an den Inhaber). Nur so ist es dem Betriebsinhaber möglich, eine erste Einschätzung Ihrer Person und Ihrer Eignung vorzunehmen und mit Ihnen in Kontakt zu treten. Wenn Sie Beratung bzgl. Betriebsübernahme wünschen, melden Sie sich gerne bei uns. (Kontaktdaten siehe rechts)",Nordrhein-Westfalen / Arnsberg / Bochum,,https://www.nexxt-change.org/DE/Verkaufsangebot/Detailseite/detailseite_jsp.html?adId=210866
Malerfirma,nordrhein-westfalen,Die Ambrock GmbH sucht Malerbetriebe zur Übernahme,Sanitär-Heizung-Klima-Betrieb in Dortmund gesucht,In Dortmund wird ein SHK-Betrieb zur Übernahme gesucht,"
Erfahrener SHK-Meister sucht einen Betrieb in Dortmund",Nordrhein-Westfalen / Arnsberg / Dortmund,,,Unknown,"Ein seit vielen Jahren erfolgreicher Betrieb, eingetragen im Installateur- und Heizungsbauer-Handwerk, sucht einen Nachfolger.",Das Unternehmen ist für einen motivierten und qualifizierten Installateur- und Heizungsbauermeister sehr gut geeignet. Aus altersbedingten Gründen soll der Betrieb nun abgegeben werden.,"
Ein seit vielen Jahren erfolgreicher Betrieb, eingetragen im Installateur- und Heizungsbauer-Handwerk, sucht einen Nachfolger.

Das Unternehmen ist für einen motivierten und qualifizierten Installateur- und Heizungsbauermeister sehr gut geeignet. Aus altersbedingten Gründen soll der Betrieb nun abgegeben werden.

Der Meisterbetrieb verfügt über 2 gewerbliche Mitarbeiter und einen Azubi sowie eine große Anzahl zufriedener Stammkunden. Branchenüblich ausgestattete Fahrzeuge sowie ein angemietetes Büro-/Werkstatt-/Lagergebäude (Mietvertrag kann weitergeführt werden) gehören zum Angebot.

Die Schwerpunkte des Betriebes liegen in der Reparatur, dem Kundendienst und in der Sanierung im Bereich Heizungen sowie in den Sanitärinstallationen.
Es bestehen viele Stammkundenkontakte im Privat- und Unternehmenskundensegment, so dass mit konstanten Umsätzen geplant werden kann. Die Lieferanten befinden sich in unmittelbarer Nähe.

Der derzeitige Inhaber garantiert eine umfassende Einarbeitung sowie eine vertrauensvolle Einführung des neuen Inhabers bei den Bestandskunden.

Eine Begleitung der Übernahme durch die Handwerkskammer Düsseldorf wird gewährleistet.

Bitte geben Sie bei Kontaktaufnahme Ihre vollständigen Kontaktdaten an.",Nordrhein-Westfalen / Düsseldorf / Essen,,https://www.nexxt-change.org/DE/Verkaufsangebot/Detailseite/detailseite_jsp.html?adId=208959
Malerfirma,"düsseldorf, nordrhein-westfalen",Die Ambrock GmbH sucht Malerbetriebe zur Übernahme,Sanitär-Heizung-Klima-Betrieb in Dortmund gesucht,In Dortmund wird ein SHK-Betrieb zur Übernahme gesucht,"
Erfahrener SHK-Meister sucht einen Betrieb in Dortmund",Nordrhein-Westfalen / Arnsberg / Dortmund,,,Unknown,Heizung und Sanitärtechnik,Sanitär- und Heizungsbetrieb südlich von Dortmund,"
*Liebe Interessenten, bitte beachten Sie unseren Hinweis am Ende des Inserates!

Sanitär- und Heizungsbetrieb sucht Nachfolger.
Privatkundenstamm sowie Hausverwaltungen und Gewerbekunden werden betreut.
Schwerpunkte sind Heizungsbau incl. Wärmepumpen, Badsanierung, kleinere Neubauten mit bekannten Architekten, Kundendienst. Auftragslage dementsprechend gut.
Ordentlicher Fahrzeugpark und Werkzeug vorhanden.

*Wichtiger Hinweis: Bitte nutzen Sie in Ihrer Interessensbekundung die entsprechenden Freifelder für die erforderlichen Informationen (Qualifikation, Berufserfahrung, Mitteilung/Motivationsbekundung an den Inhaber). Nur so ist es dem Betriebsinhaber möglich, eine erste Einschätzung Ihrer Person und Ihrer Eignung vorzunehmen und mit Ihnen in Kontakt zu treten. Wenn Sie Beratung bzgl. Betriebsübernahme wünschen, melden Sie sich gerne bei uns. (Kontaktdaten siehe rechts)",Nordrhein-Westfalen / Arnsberg / Unna,,https://www.nexxt-change.org/DE/Verkaufsangebot/Detailseite/detailseite_jsp.html?adId=205517
